Sygnatura czasowa,1. How satisfied are you with the overall user experience of the app? ,2. How easy is it to navigate through the app and find the features you’re looking for? ,"3. How satisfied are you with the quality of F1 insights, news, and analysis provided by the app? ","4. How useful do you find the app’s interactive features (polls, race predictions, etc.)? ",5. How well does the app meet your needs for F1-related discussions and community interaction? ,6. How satisfied are you with the live race updates and visualizations in the app? ,7.  How likely are you to recommend this app to other F1 fans? ,8.  How satisfied are you with the speed and responsiveness of the app? ,"9. How satisfied are you with the app’s personalization options (e.g., content tailored to favorite teams, drivers)? ",10.  How well does the app fulfill your expectations compared to other F1 apps or platforms? 
2024-11-12 10:06:52,10,9,7,10,7,8,9,5,10,10
2024-11-12 10:07:11,7,7,7,7,7,7,7,7,7,7
2024-11-12 10:07:25,10,10,10,10,10,10,10,10,10,10
2024-11-12 10:33:59,8,9,7,5,10,10,9,7,6,8
2024-11-23 21:55:34,4,2,7,5,6,2,6,2,2,9
2024-11-30 11:14:52,4,10,5,3,5,7,4,8,2,4
2024-11-30 11:15:06,10,10,10,10,10,10,10,10,10,10
2024-11-30 11:15:47,8,7,9,6,10,5,10,10,3,10
2024-11-30 11:16:10,10,10,10,10,10,10,10,10,10,10
2024-11-30 11:16:38,8,2,0,0,0,6,3,10,1,4
2024-11-30 11:16:58,6,4,6,5,4,6,5,5,2,7
2024-11-30 11:17:25,3,5,0,10,8,,1,4,7,4
2024-11-30 11:17:37,5,5,5,5,5,5,5,5,5,5
2024-11-30 11:17:55,3,2,3,4,,3,3,3,0,3
2024-11-30 11:19:11,9,9,6,3,10,10,6,1,0,9
2024-11-30 11:25:04,10,9,8,10,4,5,10,10,2,10
2024-11-30 11:25:27,0,0,0,0,0,1,0,0,0,0
2024-11-30 11:25:45,10,8,5,7,10,6,10,8,7,9
2024-11-30 11:26:05,10,8,8,9,8,10,7,8,10,6
2024-11-30 11:26:23,7,10,10,7,5,6,8,9,10,10
2024-11-30 11:26:42,4,6,7,10,10,10,10,8,5,7
2024-11-30 11:27:36,10,9,10,7,10,10,10,10,10,10
2024-11-30 11:27:48,9,8,9,9,8,9,9,10,10,9
2024-11-30 11:28:04,9,10,9,10,9,10,9,10,9,10
2024-11-30 11:28:20,8,8,8,8,8,8,8,8,8,8
2024-11-30 11:29:04,10,10,9,,9,10,10,10,9,10
2024-11-30 11:29:20,9,9,9,9,9,9,9,10,10,9
2024-11-30 11:47:07,10,10,8,,9,7,10,7,8,6
2024-11-30 11:47:21,8,9,7,9,8,7,10,8,6,9
2024-11-30 11:47:34,7,9,6,9,7,9,9,8,7,7
2024-11-30 11:48:21,6,4,5,5,7,9,9,8,8,10
2024-11-30 11:48:46,3,5,5,6,4,9,10,6,8,5
2024-11-30 11:49:00,10,10,10,10,10,10,10,10,10,10
2024-11-30 11:49:11,10,10,8,10,10,10,10,10,10,10
2024-11-30 11:49:26,9,9,9,9,9,9,9,9,9,10
2024-11-30 11:49:43,10,8,7,8,9,7,9,10,10,9